case_id,invoice_id,payment_id,transaction_id,expected_result,match_reason
CASE-001,INV-1001,PAY-5001,TXN-9001,confirmed,Exact reference amount currency and customer
CASE-002,INV-1002,PAY-5002,TXN-9002,confirmed,Exact reference amount and currency
CASE-003,INV-1003,PAY-5003,TXN-9003,review,Amount reduced by possible bank fee
CASE-004,INV-1004,PAY-5004,TXN-9004,review,Missing reference but exact amount and customer
CASE-005,INV-1005,PAY-5005,TXN-9005,partial,Payment covers only part of invoice amount
CASE-006,INV-1006,PAY-5006,TXN-9006,confirmed,Exact reference amount currency and customer
CASE-007,INV-1006,PAY-5007,TXN-9007,duplicate,Repeated payment with identical reference and amount
CASE-008,INV-1007,PAY-5008,TXN-9008,confirmed,Exact reference and amount despite delayed date
CASE-009,INV-1008,PAY-5009,TXN-9009,review,Missing reference with exact amount and similar sender name
CASE-010,INV-1009,PAY-5010,TXN-9010,currency_mismatch,Payment currency differs from invoice currency
CASE-011,INV-1010,PAY-5011,TXN-9011,confirmed,Exact reference and amount despite missing customer identifier
CASE-012,,,TXN-9012,unmatched,No corresponding invoice or payment record
