"Document Number","Client ID","Client Name","Posting Date","Payment Due Date","Currency Code","Gross Amount","Reference","Invoice Status"
"INV-1001","CUST-001","Alpine Logistics GmbH","2026-01-05","2026-02-04","EUR","2450.00","ALP-2026-1001","open"
"INV-1002","CUST-002","Nordstern Retail GmbH","2026-01-07","2026-02-06","EUR","1785.50","NOR-2026-1002","open"
"INV-1003","CUST-003","Bavaria Fleet Services","2026-01-09","2026-02-08","EUR","3200.00","BFS-2026-1003","open"
"INV-1004","CUST-004","Rheinland Components AG","2026-01-11","2026-02-10","EUR","875.25","RHE-2026-1004","open"
"INV-1005","CUST-005","Elbe Transport Solutions","2026-01-13","2026-02-12","EUR","4990.00","ELB-2026-1005","open"
"INV-1006","CUST-006","MainTech Systems GmbH","2026-01-15","2026-02-14","EUR","1250.00","MTS-2026-1006","open"
"INV-1007","CUST-007","Danube Commercial Services","2026-01-18","2026-02-17","EUR","2250.75","DCS-2026-1007","open"
"INV-1008","CUST-008","Hanseatic Supply GmbH","2026-01-20","2026-02-19","EUR","980.00","HAN-2026-1008","open"
"INV-1009","CUST-009","Black Forest Mobility","2026-01-22","2026-02-21","EUR","3675.40","BFM-2026-1009","open"
"INV-1010","CUST-010","Isar Digital Solutions","2026-01-25","2026-02-24","EUR","1420.00","IDS-2026-1010","open"
